screening_id,title,year,venue,full_text_status,retrieval_source,ai_suggested_decision,ai_primary_code,ai_role_suggestion,q1_decision,q2_container,q3_sustainability,evidence_summary,ai_rationale,ai_confidence
SCR-0914,CAKS: a real-time carbon-aware Kubernetes scheduler for heterogeneous cloud environments,2026,International Journal of Advanced Technology and Engineering Exploration,retrieved,"Open-access publisher PDF at https://accentsjournals.org/PaperDirectory/Journal/IJATEE/2026/5/4.pdf, reached via the DOI landing page https://accentsjournals.org/paperinfo.php?journalPaperId=1916, all 18 pages read.",include,,core intervention,True,True,True,"Venue: International Journal of Advanced Technology and Engineering Exploration, Vol 13(138), May 2026, pp. 731-748, open access CC BY, research article, Scopus-indexed record, received 26-Oct-2025 and accepted 18-May-2026. Evaluation type: physical cloud testbed (an AWS EKS cluster with one control plane node and two bare-metal workers, c5d.metal and c5n.metal, ap-south-1 Mumbai region, described by the authors as a production-level EKS cluster used as a proof of concept). Baseline: Kubernetes Default Scheduler (KDS) with default plugins. Headline numbers with locators: factorial-500 workload total cluster CE 2523.65 gCO2eq for CAKS vs 2530.64 gCO2eq for KDS, a 6.99 gCO2eq or 0.70% saving (pp. 740-741, Figure 6). Factorial 40,000: 3278.68 vs 3279.78 gCO2eq, about 0.003% per the text on p. 741 (Figure 8 prints 0.03). Factorial 60,000: 3991.71 vs 4057.52 gCO2eq, 65.81 gCO2eq or 1.62% (p. 741, Figure 10). Ten-day study mean improvements 1.33%, 0.27%, 2.06% for the three job sets with one-sample t-tests, all 95% CIs above zero (Table 3, p. 743). Conclusion states reduction of up to 2.06% vs KDS (p. 746).","The artifact is a CarbonScore scoring plugin inside the Kubernetes scheduling framework plus a DaemonSet carbon collector that reads node power from MSR via Turbostat and carbon intensity from the ElectricityMap API, and pods are placed on the lowest-emission node. Q1 yes (the plugin independently produces placement decisions), Q2 yes (decisions act directly on containerized pods in a Kubernetes cluster), Q3 yes (explicit cluster-level carbon emission minimization with measured gCO2eq outcomes). Title shows container platform, scheduling decision, and carbon relation, so the strict core boundary is met. Real-hardware evaluation rather than simulation. Caveats for the reviewer: the journal is a low-profile open-access venue, the cluster has only two worker nodes in a single region, and the reductions are small (0.27% to 2.06% means). These affect weight in synthesis, not eligibility.",high
SCR-0929,Carbon Aware Container Scheduler,2026,"2026 IEEE International Conference for Convergence in Computing Technology, I3CTCON 2026",abstract only,"DOI resolved to ieeexplore.ieee.org/document/11508034, IEEE Xplore blocked automated retrieval (HTTP 418). Semantic Scholar API (CorpusId 288154556) confirms metadata but reports no open-access PDF. Web search found no author copy. Assessment rests on the screening abstract plus verified metadata.",uncertain,,core intervention,True,True,True,"Venue: 2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON 2026), formal peer-reviewed IEEE conference paper, DOI 10.1109/I3CTCON68242.2026.11508034, confirmed on Semantic Scholar. Evaluation type per abstract: components fully containerized in Kubernetes for realistic multi-region simulation, so it reads as a Kubernetes-based emulation, not production. Baseline: none visible in the abstract. Headline numbers: none visible, the available abstract truncates mid-sentence and I could not reach the full text, so no quantitative result can be reported.","Title satisfies all three strict-core title signals: container scheduler, scheduling decision, carbon. Abstract describes an AI Optimizer that predicts carbon intensity and automatically deploys workloads to the lowest-carbon region inside Kubernetes, so Q1, Q2, and Q3 all look yes and the likely role is core intervention. However this is a full-text stage and the full text is unreachable to me (IEEE paywall plus bot blocking), so evaluation design, baselines, and quantitative outcomes are unverified. Suggestion: hold as uncertain until the reviewer opens the IEEE Xplore full text through institutional access. If access confirms an evaluable intervention, include as core intervention. If the full text truly cannot be obtained, apply F6. If the full text shows a demo with no evaluable evidence, horizon is the fallback role.",low
SCR-0931,Carbon-Aware Microservices Scheduling: Machine Learning for Sustainable Cloud-Native Applications,2025,2025 4th International Conference on Applied Artificial Intelligence and Computing (ICAAIC),abstract only,"IEEE Xplore is paywalled to this session (page fetch blocked, stamp PDF download returned 0 bytes). Semantic Scholar API confirms the record (ICAAIC 2025, conference paper) and reports no open access PDF. No preprint or repository copy found via web search. A citing IntechOpen chapter places it at pages 1501-1506 of the proceedings.",uncertain,,core intervention,True,True,True,"Venue: 2025 4th International Conference on Applied Artificial Intelligence and Computing (ICAAIC), IEEE conference proceedings, DOI 10.1109/ICAAIC64647.2025.11331008, formal peer-reviewed version, no preprint found. Evaluation type per abstract: claimed implementation across Kubernetes clusters on multiple AWS regions with load generation and power modelling, unverifiable without full text. Baseline per abstract: carbon-ignorant autoscaling and human schedulers. Headline numbers: none, the abstract claims only significant emissions and energy savings without any figure, and I did not see the full text, so no number can be reported.","Title and abstract satisfy all three role-test questions on their face: a multi-agent RL controller makes scaling, migration, and scheduling decisions (Q1), the targets are Kubernetes-managed microservices (Q2), and the objective is carbon emission reduction with carbon-intensity forecasting (Q3). This matches the new-core title rule (cloud-native platform, scheduling decision, carbon relation). However the locked workflow requires a full-text assessment and I could not retrieve the full text, so no evaluation detail, baseline behavior, or quantitative result is verified. Two cautions for the human reviewer with institutional IEEE access: the abstract text is noticeably garbled (for example the phrase describing the RL controller repeats itself), and a 6-page ICAAIC paper claiming multi-region AWS Kubernetes deployment with three ML frameworks carries F5 risk (insufficient technical detail for synthesis). Suggest pulling the PDF via UCalgary IEEE access, then deciding between include (core intervention) and F5.",medium
SCR-0933,Carbon-Kube: A Kubernetes-Native Framework for Multi-Objective Carbon-Aware Scheduling of Big Data Pipelines,2026,"2026 9th International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech 2026",abstract only,"DOI resolves to IEEE Xplore document 11434192, which returns empty content to automated fetching. Abstract taken from the Scopus record in the candidate file. Metadata cross-checked via Semantic Scholar API (CorpusId 286646073, closed access, no open-access PDF) and OpenAlex API (published 2026-02-06, pages 1-6, closed access). Web searches found no preprint, author copy, or repository copy.",uncertain,,core intervention,True,True,True,"Venue: 2026 9th International Conference on Electronics, Materials Engineering and Nano-Technology (IEMENTech), an IEEE conference held in Kolkata, published 2026-02-06, pages 1-6 per OpenAlex, closed access, 0 to 1 citations. Per the abstract only: evaluation on AWS EKS with Spark workloads (testbed), baseline described as regular schedulers, headline claims of 41 percent CO2 emission reduction and a 1.1 to 1.7 percent latency increase. All numbers were seen only in the abstract, none verified against the full text.","The abstract passes all three role questions: a Kubernetes-native scheduler produces decisions (forecast-based time planning plus multi-objective scoring), the decisions act on containerized big data pipelines (temporal shifting and placement, CRD-enforced SLA envelope and tenant carbon budget), and the objective is explicit CO2 reduction. Two issues block a confident include. First, I could not retrieve the full text through any open channel, so the mechanism, the baseline definition, and the 41 percent figure are unverified. Second, IEMENTech is an electronics, materials engineering, and nanotechnology conference, an unusual outlet for a cloud scheduling paper, and the abstract phrasing is awkward (for example: the above experiment of AWS EKS), which together raise a review-rigor flag. Suggest the reviewer pull the PDF through IEEE institutional access (the stamp.jsp link in the record suggests such access exists), verify the evaluation section and the 41 percent claim, then choose between include as core intervention and F5 if the technical detail proves too thin for synthesis.",low
SCR-1182,Container Orchestration in Edge Computing with Fluctuating Green Energy: A Multi-armed Bandit Approach,2026,Lecture Notes in Networks and Systems,retrieved,"Author-hosted PDF at http://www.es.mdu.se/pdf_publications/7310.pdf (Malardalen University publications page), 12 pages read in full. The published Springer version (DOI 10.1007/978-3-032-16995-2_12) is paywalled, so verification of final published wording is against the author version.",include,,core intervention,True,True,True,"Venue: Proceedings of the International Conference on Ubiquitous Computing and Ambient Intelligence (UCAmI 2025), Volume 2, Springer Cham, pp. 117-129, publication year 2026, conference held November 2025 (Springer page metadata and the MDU entry). The record lists the Lecture Notes in Networks and Systems series. Note: this is a peer-reviewed conference proceedings paper, the record field publication_type says workshop paper, which looks inaccurate. Evaluation type: simulation only, a Python simulator built by the authors (code linked as reference 1, github.com/struharv/BanditsSimulation). Scenarios use 3 to 5 nodes and up to 30 containers, one scenario replays Electricity Maps hourly carbon-free energy percentages for five country nodes (US, Portugal, Spain, France, Hungary) over August 20-24, 2024 (p. 11 of the author PDF). Baselines: optimal, random, and a naive non-contextual MAB, compared by cumulative reward (Figure 3, p. 11), where CMAB results are described as nearly optimal for small scenarios. Headline numbers: the abstract and contribution list claim up to 30% higher cumulative green-energy utilization and 20% lower brown-energy consumption vs heuristics and non-contextual bandit baselines (pp. 1-3). Caution: I did not find those 30% and 20% figures broken out in the results section itself, which reports cumulative reward comparisons.","The artifact is a LinUCB contextual multi-armed bandit orchestrator that decides container migration and placement across edge nodes using a context of green-energy availability, schedulability, and resource utilization, with a reward that increases with green-energy use. Q1 yes (the CMAB selects the target node per decision epoch), Q2 yes (decisions act on containerized workloads via migration and placement), Q3 yes (green vs brown energy objective). The simulator is the evaluation vehicle and the intervention is the scheduler, so this is core rather than enabling. Evidence is simulation-only at small scale, which limits synthesis weight. Suggest marking it as a conference proceedings paper and quoting the 30%/20% claims as abstract-level claims rather than table-verified results.",high
SCR-1599,EcoKube: Simulating Carbon-Aware Scheduling Policies in Heterogeneous Edge–Cloud Environments,2026,"TDIS 2026 - Proceedings of the 2026 4th International Workshop on Testing Distributed Internet of Things Systems, Part of EuroSys 2026",retrieved,"arXiv full text read at arxiv.org/html/2607.09318. Formal version confirmed via ACM DOI 10.1145/3802513.3803486 (TDIS 2026 workshop at EuroSys 2026, pp. 7-12). The formal ACM workshop version is the preferred citation over the arXiv preprint.",include,,enabling,False,False,True,"Venue: TDIS 2026, 4th International Workshop on Testing Distributed IoT Systems, part of EuroSys 2026, ACM, peer-reviewed workshop paper (must be marked as a workshop paper). Evaluation type: event-driven deterministic simulation with synthetic batch workloads (three mixes, 300 to 900 jobs, arrival rates 0.8 to 1.4 jobs per minute, Table 1). Baselines: default Kubernetes scheduler, KEIDS, TOPSIS/KCSS. Headline numbers (Table 4): EcoKube reference policy 17.63 kg CO2e versus Kubernetes 32.14 kg, a stated 45.15 percent reduction in the reported emissions estimate with a 1.35 percent makespan increase. Code released at github.com/g-uva/EcoKube (tdis-26 tag).","The paper self-describes as a configurable simulation framework for reproducible evaluation of sustainability-aware policies before deployment, and states its contribution is architectural and experimental. Under the locked rule that a simulator or evaluation framework is enabling rather than core, the role is enabling: the primary artifact evaluates policies, it does not itself produce control decisions acting on real containerized workloads, hence Q1 and Q2 are marked no for the framework. Caveat for the reviewer: the bundled heterogeneity-aware reference policy does make placement decisions inside the simulator and posts the 45.15 percent emissions figure, so a reviewer weighing the reference policy as the intervention could argue core, but the authors frame it as a demonstration of the framework. Suggestion: include as enabling, marked as workshop paper, outside the core intervention synthesis.",high
SCR-2144,Green Video Transcoding in Cloud Environments Using Kubernetes: A Framework With Dynamic Renewable Energy Allocation and Priority Scheduling,2025,IEEE Access,retrieved,"Full published PDF (29 pages) retrieved from the University of Windsor Scholaris repository (CC BY copy of the IEEE Access version of record, bitstream 290586bc-789b-4710-ba79-ce0e77b7f4db) and read in full. IEEE Xplore itself blocked direct fetching.",include,,core intervention,True,True,True,"Venue: IEEE Access, vol. 13, pp. 116362-116390, 2025, peer-reviewed open access journal, received 20 May 2025, accepted 16 June 2025, published 4 July 2025, DOI 10.1109/ACCESS.2025.3585615. Evaluation type: simulation. Renewable availability is simulated from the GEFCOM2014 dataset plus Solcast and OpenWeatherMap API data over a simulated one-month period, transcoding runs as FFmpeg Kubernetes Jobs on a Minikube-backed prototype, and the conclusion (p. 116387) states the system has not yet been deployed on actual cloud platforms such as AWS or Azure. Baselines: GreenKube and CVS2 (Section III intro), plus Round Robin, QoS-aware scheduling, and baseline Kubernetes scheduling (Tables 2 and 3). Headline numbers with locators: 27.5% grid energy reduction vs GreenKube and 15.8% vs CVS2, task completion time reduced 18% vs GreenKube and 12% vs CVS2, grid dependency down from 62% (GreenKube) and 48% (CVS2) to 39% (p. 116372). Table 2 (p. 116381): baseline 20 kWh per 100 transcoding tasks at 85% grid, CVS2 17 kWh at 70% grid, proposed 12 kWh at 45% grid and 55% renewable, described as a 40% reduction. Table 3 (p. 116382, unit-based normalized metrics): energy 85 units (EAPS) and 80 units (DREA) vs 130 (Round Robin), 120 (QoS-aware), 115 (GreenKube), carbon footprint reduction 45% (EAPS) and 50% (DREA). Approximately 78% of jobs were allocated to renewable zones (Section VII.D.2, p. 116384).","All three role-test questions pass. Q1: the EAPS and DREA algorithms independently decide task-to-energy-zone assignment, task deferral, and reallocation using ML energy forecasts (CatBoost, XGBoost, Random Forest, AdaBoost). Q2: the decisions act directly on containerized workloads, FFmpeg transcoding runs as Kubernetes Jobs and pods, with HPA-driven scaling, node affinity binding to solar, wind, and grid node pools, and migration on energy fluctuation (Sections III.G, V.J). Q3: explicit renewable utilization, grid dependency, and carbon reduction objectives and outcomes. This is English primary research in a peer-reviewed journal, so it fits the core intervention synthesis. Cautions the reviewer should weigh when extracting evidence: the validation is simulation only by the authors' own admission, energy metrics in Table 3 are normalized units rather than measured kWh, the headline percentages differ between Section III (27.5% and 15.8%) and Table 2 (40%), and page 116367 contains an organization paragraph referring to image captioning and underwater image processing, an apparent copy-paste artifact that signals uneven editorial quality. I suggest include as core intervention while citing only clearly locatable numbers and noting the simulation-only status.",medium
SCR-2147,GreenKube: Towards Greener Container Orchestration using Artificial Intelligence,2023,"Proceedings - 17th IEEE International Conference on Service-Oriented System Engineering, SOSE 2023",abstract only,"DOI resolves to IEEE Xplore document 10254745, which returns empty content to automated fetching. Closed access per Semantic Scholar (DBLP conf/sose/TheodoropoulosMKT23, no open-access PDF) and OpenAlex (pages 135-139, published 2023-07-01). ResearchGate shows only a request-PDF page. Web and repository searches (including Zenodo and EU project channels) found no open author copy.",uncertain,,core intervention,True,True,True,"Venue: 17th IEEE International Conference on Service-Oriented System Engineering (SOSE 2023), Athens, a peer-reviewed IEEE conference (not a workshop), pages 135-139, so a 5-page short paper, 10 citations per Semantic Scholar and 13 per OpenAlex. Per the abstract: prototype evaluated in CloudSim Plus simulation against the Kubernetes Horizontal Pod Autoscaler as baseline, claimed advantages in latency and task execution time with fewer computational resources. The abstract contains no numeric result values and no direct energy or carbon measurement. I saw no quantitative figures anywhere I could access.","Verified peer-reviewed IEEE conference paper at a fitting systems venue. The abstract passes the role test: the framework produces orchestration decisions (it is compared head to head with the Kubernetes HPA), those decisions act on containerized workloads (scaling and orchestration), and reducing energy consumption under QoS constraints is the stated objective, which satisfies Q3 as an objective even without a reported energy number. The CloudSim Plus evaluation is simulation of a scheduling intervention, not a simulator contribution, so the enabling reclassification does not apply. Remaining doubts that keep this at uncertain rather than include: the abstract reports only latency, execution time, and resource-use advantages with no numbers and no measured energy outcome, and a 5-page paper with a Towards title may turn out to be a framework vision with a thin prototype. If the full text reports evaluable energy or resource results for the prototype, include as core intervention and record it as a simulation-based short conference paper. If it only sketches the architecture with preliminary latency results and no sustainability outcome, F5 for insufficient technical detail (or a horizon role) would fit better.",medium
SCR-2616,Kubernetes Scheduling for Green-Powered Microgrid Data Centers,2026,Lecture Notes in Computer Science,abstract only,"Springer chapter landing page for DOI 10.1007/978-3-032-19134-2_19 (full abstract and metadata retrieved, chapter body paywalled with no open-access flag) plus the EI.A 2025 conference program abstract book hosted at energyinformatics.academy, where the identical abstract appears on program page 40. No open full text found via Semantic Scholar, DiVA, Aalborg VBN (403), Google Scholar, or web search.",uncertain,,core intervention,True,True,True,"Venue: Energy Informatics (proceedings of the Energy Informatics Academy Conference, EI.A 2025, Kuala Lumpur, 3-6 December 2025), Springer Cham, chapter pp. 290-306, publication year 2026, record venue Lecture Notes in Computer Science. Peer-reviewed conference proceedings, the record field publication_type says workshop paper, which looks inaccurate. From the verbatim abstract: the authors implement two green strategies as a Kubernetes Scheduling Framework plugin (one for renewable self-consumption, one also using local grid carbon intensity), plus a microgrid-and-node simulation framework. Evaluation type per abstract: simulation, with workloads from a real Azure worktrace. Baseline per abstract: the default Kubernetes scheduler. Headline number per abstract: the plugin can either improve self-consumption by 35.86% or achieve a much smaller carbon footprint vs the default scheduler (no numeric carbon figure given in the abstract). The abstract states all code and data are open source. I could not read the chapter body, so setup sizes, exact carbon numbers, and locators are unverified.","On the abstract, all three role questions are yes: the plugin produces placement decisions (Q1), the decisions act on Kubernetes workloads (Q2), and the objectives are renewable self-consumption and carbon intensity (Q3), so the natural role is core intervention with simulation evidence. I mark the suggestion uncertain only because the full text was not retrievable from open sources and synthesis-level detail (F5) is unverified. Recommended next step: retrieve the chapter through institutional Springer access (University of Calgary library should cover LNCS). If retrieved and the technical detail holds, include as core intervention. Apply F6 only if the reviewer also cannot obtain it.",medium
SCR-4163,Towards Carbon-Aware Container Orchestration: Predicting Workload Energy Consumption with Federated Learning.,2025,"Proceedings - 2025 IEEE Smart World Congress, SWC 2025, 2025 IEEE Ubiquitous Intelligence and Computing, Autonomous and Trusted Computing, Digital Twin, Metaverse, Scalable Computing and Communications",retrieved,"arXiv full text read at arxiv.org/html/2510.03970. Formal version confirmed via Semantic Scholar for DOI 10.1109/SWC65939.2025.00082 (IEEE SWC 2025), IEEE Xplore full text itself is paywalled. The formal IEEE SWC 2025 version is the preferred citation over the arXiv preprint.",include,,enabling,False,False,True,"Venue: 2025 IEEE Smart World Congress (SWC 2025), formal peer-reviewed IEEE conference paper. Evaluation type: offline simulation on the SPECPower benchmark dataset, synthetically partitioned across 3 federated clients, XGBoost trained via Flower FedXgbBagging, extending Kepler. Baseline: centralized XGBoost model. Headline numbers (Section IV of the arXiv version): federated MAE 12.81 versus centralized MAE 14.51, an 11.7 percent lower MAE. The paper explicitly states integration with live Kubernetes deployments is future work.","The system only predicts workload energy consumption, it makes no scheduling, placement, or orchestration decision, and the evaluation is offline on a benchmark dataset rather than acting on containerized workloads, so Q1 and Q2 are no and Q3 is yes. Under the role test (measurement, models, tools) this is enabling, not core, despite the carbon-aware orchestration title framing. Suggestion: include as enabling evidence (privacy-preserving energy prediction feeding future carbon-aware orchestration), not core intervention. Disclosure note for the reviewer: this paper is authored by the survey's own author team (Saad, Yang, Leung, Drew), so treat it as a self-citation when deciding its placement.",high
SCR-4193,Towards Performance and Energy Aware Kubernetes Scheduler,2025,SIGENERGY Energy Inform. Rev.,retrieved,"Full open access PDF downloaded from ACM Digital Library (dl.acm.org/doi/pdf/10.1145/3757892.3757902, bronze open access per Semantic Scholar) and read in full (7 pages).",include,,core intervention,True,True,True,"Venue: ACM SIGENERGY Energy Informatics Review, Volume 5, Issue 2, July 2025, pp. 69-75, DOI 10.1145/3757892.3757902. This is the HotCarbon 2025 workshop cohort published through EIR (the paper thanks a shepherd, and an external program listing places it at the HotCarbon Workshop on Sustainable Computer Systems, July 2025), so it must be marked as a workshop paper. Evaluation type: testbed. CloudLab cluster, Kubernetes v1.28 on Ubuntu 22.04, DeathStarBench hotel reservation benchmark (19 microservices), wrk2 load generation, Kepler for per-node power measurement, 5-hour runs on three cluster configurations (2X Server-2021, 4X Server-2014, and a mixed 2X Server-2014 plus 1X Server-2021 cluster, each 128 allocatable CPUs). Baselines: Kubernetes Horizontal Pod Autoscaler and Cilantro with its UCB policy. Headline numbers with locators: up to 5X lower P99 latency vs Cilantro and HPA (contribution 1, Section 1, and Section 3.3), mixed hardware cluster up to 2.3X lower P99 and up to 45% lower power (contribution 2, Section 1). Table 2 (p. 72): on 2X-Server-2021 PAX 237 ms P99 at 345 W vs HPA 1171 ms at 371 W and Cilantro 3169 ms at 334 W, on 4X-Server-2014 PAX 680 ms at 199 W vs HPA 1305 ms at 274 W, on the mixed cluster PAX 193 ms at 238 W vs HPA 994 ms at 321 W. Table 1 (p. 71): embodied carbon 118.4 kg CO2 (Server-2014) vs 221.9 kg (Server-2021), computed with ACT.","All three role-test questions pass. Q1: PAX independently produces control decisions, Bayesian optimization (Meta AX platform) jointly selects pod replica counts and pod-to-node placement and applies them through the Kubernetes API (patch_namespaced_deployment), bypassing the default scheduler. Q2: the decisions act directly on containerized workloads (Kubernetes pod scaling and placement across heterogeneous nodes). Q3: an identifiable sustainability outcome is present, per-configuration CPU package power is measured with Kepler and reported (PAX reaches the lowest power on the 4X-Server-2014 and mixed clusters), and the embodied carbon of old vs new servers is quantified with ACT to support the carbon argument for hardware reuse. Caveats for synthesis: the BO objective in the reported experiments is P99 latency only, carbon and energy appear as measured outcomes and motivation rather than as an optimization signal, the authors call the results preliminary, and only one benchmark was used. It is nevertheless English primary research with evaluable testbed evidence against named baselines, so it belongs in the core intervention synthesis, flagged as a workshop paper per the survey's locked rule.",high
