record_id,source,source_id,title,year,doi,url,removal_type,removal_reason,review_group_id,retained_record_id
arXiv::2510.03970,arXiv,2510.03970,Towards Carbon-Aware Container Orchestration: Predicting Workload Energy Consumption with Federated Learning,2025,,https://arxiv.org/abs/2510.03970,duplicate,Two database records describe the same preprint,CONFLICT-0010,Scopus::2-s2.0-105035830573
arXiv::2602.08191,arXiv,2602.08191,NeuroScaler: Towards Energy-Optimal Autoscaling for Container-Based Services,2026,,https://arxiv.org/abs/2602.08191,duplicate,Two database records describe the same preprint,CONFLICT-0011,Scopus::2-s2.0-105045422668
DBLP::conf/ucc/MehtaHRBV20,DBLP,conf/ucc/MehtaHRBV20,WattsApp: Power-Aware Container Scheduling.,2020,10.1109/ucc48980.2020.00027,https://dblp.org/rec/conf/ucc/MehtaHRBV20,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0001,Scopus::2-s2.0-85099605767
DBLP::journals/corr/abs-2006-00342,DBLP,journals/corr/abs-2006-00342,WattsApp: Power-Aware Container Scheduling.,2020,,https://dblp.org/rec/journals/corr/abs-2006-00342,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0001,Scopus::2-s2.0-85099605767
IEEE Xplore::https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9302777,IEEE Xplore,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9302777,WattsApp: Power-Aware Container Scheduling,2020,10.1109/ucc48980.2020.00027,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9302777,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0001,Scopus::2-s2.0-85099605767
arXiv::2006.00342,arXiv,2006.00342,WattsApp: Power-Aware Container Scheduling,2020,,https://arxiv.org/abs/2006.00342,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0001,Scopus::2-s2.0-85099605767
ACM Digital Library::10.1145/3631295.3631396,ACM Digital Library,10.1145/3631295.3631396,GreenCourier: Carbon-Aware Scheduling for Serverless Functions,2023,10.1145/3631295.3631396,https://doi.org/10.1145/3631295.3631396,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0003,Scopus::2-s2.0-85180124267
DBLP::conf/wosc/ChadhaSAG0A23,DBLP,conf/wosc/ChadhaSAG0A23,GreenCourier: Carbon-Aware Scheduling for Serverless Functions.,2023,10.1145/3631295.3631396,https://dblp.org/rec/conf/wosc/ChadhaSAG0A23,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0003,Scopus::2-s2.0-85180124267
arXiv::2310.20375,arXiv,2310.20375,GreenCourier: Carbon-Aware Scheduling for Serverless Functions,2023,10.1145/3631295.3631396,https://arxiv.org/abs/2310.20375,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0003,Scopus::2-s2.0-85180124267
DBLP::conf/ccnc/BellalLKMN25,DBLP,conf/ccnc/BellalLKMN25,3GC: A Deadline-Aware and Energy-Efficient Resource Allocation Scheme for Serverless Edge Computing.,2025,10.1109/ccnc54725.2025.10976019,https://dblp.org/rec/conf/ccnc/BellalLKMN25,duplicate,Confirmed exact DOI or publication-identity duplicate,EXACT-0004,Scopus::2-s2.0-105005140255
