screening_id,title,year,prior_suggestion,verified_venue,venue_tier,peer_reviewed,venue_verdict,reason,evidence_url
SCR-0571,An autonomous energy-aware resource scheduling mechanism in serverless edge computing.,2026,uncertain promoted to full text,"Artificial Intelligence Review, Springer, volume 59 (2026)",A,True,keep,"DOI resolves to Artificial Intelligence Review, a long-established high-impact Springer journal at or above the FGCS and JSS level named in the A tier.",https://doi.org/10.1007/s10462-026-11495-9
SCR-0591,An Energy and Performance Aware Consolidation Technique for Containerized Datacenters.,2021,uncertain promoted to full text,"IEEE Transactions on Cloud Computing, IEEE, vol. 9 (2021 issue), journal",A,True,keep,"TCC is a flagship IEEE transactions explicitly in the A list, confirmed by the 10.1109/tcc DOI and the DBLP journals/tcc key.",https://doi.org/10.1109/tcc.2019.2920914
SCR-1175,Container-based fog computing architecture and energy-balancing scheduling algorithm for energy IoT.,2019,uncertain promoted to full text,"Future Generation Computer Systems, Elsevier, journal, volume 97 (2019)",A,True,keep,"Crossref confirms FGCS, an Elsevier flagship systems journal explicitly in the top tier for this survey.",https://api.crossref.org/works/10.1016/j.future.2018.12.063
SCR-1600,EcoLife: Carbon-Aware Serverless Function Scheduling for Sustainable Computing.,2024,uncertain promoted to full text,"SC '24: Proceedings of the International Conference for High Performance Computing, Networking, Storage, and Analysis, IEEE/ACM, 2024",A,True,keep,"The metadata venue CoRR is only the preprint, the DOI resolves to the SC24 technical papers proceedings, a top-tier IEEE/ACM conference.",https://dl.acm.org/doi/10.1109/SC41406.2024.00018
SCR-1721,EneA-FL: Energy-aware orchestration for serverless federated learning.,2024,uncertain promoted to full text,"Future Generation Computer Systems, volume 154, Elsevier, journal article (verified via Crossref)",A,True,keep,FGCS is a top-tier Elsevier systems journal explicitly listed at A level.,https://doi.org/10.1016/j.future.2024.01.007
SCR-1767,Energy-Efficient Workflow Scheduling Using Container-Based Virtualization in Software-Defined Data Centers.,2020,uncertain promoted to full text,"IEEE Transactions on Industrial Informatics, IEEE, journal, volume 16 issue 12, 2020",A,True,keep,"Confirmed in IEEE Transactions on Industrial Informatics (vol 16, no 12, pp 7646-7657), a flagship IEEE transactions.",https://dblp.org/rec/journals/tii/RanjanTAKZ20.html
SCR-1775,EneX: An Energy-Aware Execution Scheduler for Serverless Computing.,2024,uncertain promoted to full text,"IEEE Transactions on Industrial Informatics, IEEE, vol. 20 (2024 issue), journal",A,True,keep,"TII is a high-impact flagship IEEE transactions, confirmed by the 10.1109/tii DOI and the DBLP journals/tii key.",https://doi.org/10.1109/tii.2023.3290985
SCR-2709,LowCarb: Carbon-Aware Scheduling of Serverless Functions.,2026,uncertain promoted to full text,"2026 IEEE International Symposium on High-Performance Computer Architecture (HPCA), IEEE, main proceedings, Sydney, Jan-Feb 2026",A,True,keep,"Crossref confirms the IEEE flagship computer architecture conference HPCA, not a workshop despite the metadata label.",https://api.crossref.org/works/10.1109/hpca68181.2026.11408586
SCR-3443,REPFS: Reliability-Ensured Personalized Function Scheduling in Sustainable Serverless Edge Computing.,2024,uncertain promoted to full text,"IEEE Transactions on Sustainable Computing, IEEE, journal, volume 9 (2024)",A,True,keep,"Crossref confirms an IEEE Transactions at the TPDS and TSC level, directly on the survey topic area.",https://api.crossref.org/works/10.1109/tsusc.2023.3336691
SCR-3952,Sustainable Serverless Computing With Cold-Start Optimization and Automatic Workflow Resource Scheduling.,2024,uncertain promoted to full text,"IEEE Transactions on Sustainable Computing, IEEE (2024)",A,True,keep,"Crossref confirms IEEE Transactions on Sustainable Computing, an IEEE transactions journal at the same level as TSC and TCC in the A tier.",https://doi.org/10.1109/TSUSC.2023.3311197
SCR-0182,A Genetic Algorithm-Based Energy-Efficient Container Placement Strategy in CaaS.,2019,uncertain promoted to full text,"IEEE Access, volume 7, IEEE, journal article (verified via Crossref)",B,True,keep,"IEEE Access is a legitimate peer-reviewed IEEE open-access mega-journal, solid but not a flagship transaction.",https://doi.org/10.1109/access.2019.2937553
SCR-0186,A Group Genetic Algorithm for Energy-Efficient Resource Allocation in Container-Based Clouds with Heterogeneou,2023,uncertain promoted to full text,"AI 2023: Advances in Artificial Intelligence, 36th Australasian Joint Conference on Artificial Intelligence (AJCAI 2023), Springer LNCS/LNAI, Brisbane, Nov-Dec 2023",B,True,keep,Long-running established Australasian AI conference with peer-reviewed Springer LNAI proceedings.,https://api.crossref.org/works/10.1007/978-981-99-8391-9_36
SCR-0249,A novel energy-aware resource management technique using joint VM and container consolidation approach for gre,2020,uncertain promoted to full text,"Simulation Modelling Practice and Theory, Elsevier, journal, volume 104, 2020",B,True,keep,"Established Elsevier journal (SIMPAT), confirmed via DBLP and DOI as volume 104, article 102127.",https://dblp.org/rec/journals/simpra/GholipourAB20.html
SCR-0355,A whale optimization system for energy-efficient container placement in data centers.,2021,uncertain promoted to full text,"Expert Systems with Applications, Elsevier, journal, volume 164 (2021)",B,True,keep,Crossref confirms an established high-impact Elsevier journal article in Expert Systems with Applications.,https://api.crossref.org/works/10.1016/j.eswa.2020.113719
SCR-0593,An energy-conscious scheduling framework for serverless edge computing in IoT.,2025,uncertain promoted to full text,"Journal of Cloud Computing (Advances, Systems and Applications), volume 14, Springer (SpringerOpen), journal article (verified via Crossref)",B,True,keep,Established SpringerOpen journal with real peer review and strong indexing in the cloud computing field.,https://doi.org/10.1186/s13677-025-00780-7
