screening_id,title,year,venue,ai_suggested_decision,ai_primary_code,ai_rationale,ai_fetched_source,ai_confidence
SCR-0172,A Framework and Algorithm for Energy Efficient Container Consolidation in Cloud Data Centers.,2015,DSDIS,include for full text,,"Title alone shows all three core criteria: software containers in cloud data centers, a consolidation (placement) decision, and an explicit energy-efficiency objective. The fetched Semantic Scholar record confirms it is a 2015 IEEE DSDIS conference paper but the publisher withheld the abstract, so the sustainability signal rests on the title and must be confirmed at full text.",True,medium
SCR-0182,A Genetic Algorithm-Based Energy-Efficient Container Placement Strategy in CaaS.,2019,IEEE Access,include for full text,,"Fetched abstract confirms primary research on energy-efficient container placement in CaaS using an improved genetic algorithm under a nonlinear energy model. Title and abstract show container platform, placement decision, and a strong energy signal, so it is a plausible new CORE candidate.",True,high
SCR-0186,A Group Genetic Algorithm for Energy-Efficient Resource Allocation in Container-Based Clouds with Heterogeneous Physical Machines.,2023,AI,include for full text,,"The fetched Springer abstract confirms energy-aware allocation of containers to VMs and VMs to heterogeneous physical machines with an explicit energy model, meeting the container, scheduling decision, and energy criteria. Springer presents it as a conference paper in AI 2023 (Australasian Joint Conference on Artificial Intelligence), while the export labels it a workshop paper, so the type should be confirmed at full text.",True,high
SCR-0249,A novel energy-aware resource management technique using joint VM and container consolidation approach for green computing in cloud data centers.,2020,Simul. Model. Pract. Theory,include for full text,,"Fetched abstract (Semantic Scholar API) confirms a joint VM and container consolidation technique aimed at reducing energy consumption and CO2 emissions in cloud data centers, evaluated in ContainerCloudsim. Title and abstract show container platform, consolidation decision, and a strong sustainability signal, so this is a plausible new core candidate.",True,high
SCR-0251,A Novel Two-Stage Heuristic for Solving Storage Space Allocation Problems in Rail-Water Intermodal Container Terminals.,2019,Symmetry,exclude,E1,"The title alone shows a storage space allocation problem in rail-water intermodal container terminals, a physical shipping container setting. The locked rule assigns non-software uses of container to E1, so no fetch was needed.",False,high
SCR-0258,A Practical Network Layout Planning System Using GeoSpatial Data,2022,"Spatial Gems, Volume 1",exclude,E1,"Title describes a geospatial network layout planning system, with no software-container or cloud-native orchestration relation and no sustainability signal. No fetch needed, the title is decisive.",False,high
SCR-0355,A whale optimization system for energy-efficient container placement in data centers.,2021,Expert Syst. Appl.,include for full text,,"Fetched abstract confirms primary research on joint container and VM placement in CaaS data centers, minimizing power consumption with a Whale Optimization Algorithm. All three CORE elements and a strong energy signal are present in title and abstract.",True,high
SCR-0409,Adaptive protocols for information dissemination in wireless sensor networks,1999,Proceedings of the 5th Annual ACM/IEEE International Conference on Mobile Computing and Networking,exclude,E1,"A 1999 paper on adaptive information dissemination protocols in wireless sensor networks has no software container or cloud-native orchestration relation. Decidable from the title alone, no fetch needed.",False,high
SCR-0446,Agent-Enabled Collaborative Downloading: Towards Energy-Efficient Provisioning of Group-Oriented Services.,2010,KES-AMSTA,exclude,E1,"Fetched abstract (SpringerLink page) shows agent-enabled collaborative downloading among mobile users to save mobile device battery energy. There is no software container or cloud-native orchestration platform involved, so E1 applies despite the energy-efficiency wording.",True,high
SCR-0541,Allocation of Greenhouse Gas Emissions for Containers in Multimodal Transshipment Terminals using Simulation.,2017,Simul. Notes Eur.,exclude,E1,"The title alone shows greenhouse gas allocation for physical containers in multimodal transshipment terminals, a logistics setting. The locked rule assigns non-software uses of container to E1 even though a sustainability signal (GHG) is present.",False,high
